-1.144362709955749224e+01,6.469713064327031304e+00,7.255460287489226445e+00,-5.096772251288880007e+00,-1.863478822510856858e+01,-3.612679015596942378e+00
-1.163954005582004214e+01,6.781168216153459660e+00,7.851705681972276807e+00,-5.377380151462824109e+00,-1.894015269869441909e+01,-3.652189447802468791e+00
-1.100993677976474494e+01,6.612930720020344211e+00,7.781237810065927185e+00,-5.268148907732294717e+00,-1.804564425103314917e+01,-3.486268114227307535e+00
-8.913732661467166807e+00,5.004452103212198466e+00,5.802047262149322648e+00,-3.956259999228239899e+00,-1.422121869236917213e+01,-2.706971440717977462e+00
-6.780685452916145550e+00,3.987484050824474657e+00,4.530750743748032328e+00,-3.157162262209169068e+00,-1.119723681812667948e+01,-2.185653507785706662e+00
-6.663592498255225927e+00,3.944688948181132027e+00,4.498015507987168426e+00,-3.126398876873446309e+00,-1.102220162354089616e+01,-2.152534899035254856e+00
-8.327051862356976031e+00,4.648137195476642169e+00,5.306890767611863069e+00,-3.665642472047346168e+00,-1.335057962800091147e+01,-2.555591103709072609e+00
-8.360612084269233080e+00,4.996326782549181722e+00,5.901956949303452937e+00,-3.980582003693141413e+00,-1.363797881378748578e+01,-2.625077491346679892e+00
-8.926820109131304193e+00,5.347452617305130218e+00,6.258003415164671068e+00,-4.256141098207254281e+00,-1.465444760585618944e+01,-2.836529619597145224e+00
-1.037651931707057607e+01,5.713542380106066076e+00,6.312495575556058114e+00,-4.482201437010990830e+00,-1.678897160834498692e+01,-3.248430716841741894e+00
-1.127644436651270254e+01,6.728733800414742561e+00,7.844237576346819729e+00,-5.351200986481011945e+00,-1.851248640077368179e+01,-3.585699046496251263e+00
-9.558217570845480182e+00,5.328262882149573443e+00,5.865692719064983685e+00,-4.182850748185293455e+00,-1.559104613986368726e+01,-3.033854568420358611e+00
-1.051610416852247276e+01,6.257248179735077187e+00,7.359273738053078162e+00,-4.980598268057609523e+00,-1.715629673478610684e+01,-3.305036078998422777e+00
