-7.693994722629657446e+00,-1.428958793175916675e+01,1.171099617903235490e+01,-8.375697561716652917e-01,-2.303477623570529076e+01,7.562724695748824111e+00,9.481164018002182559e+00,6.508231570807645916e+00,4.808114861006412832e-02,-1.123090328253756454e+01
-8.587751634654011923e+00,-1.538282657338409187e+01,1.294056374272131826e+01,-1.572536644940150996e+00,-2.481342631293373913e+01,8.280427382963251759e+00,9.747235497274239435e+00,6.606254164613386770e+00,-3.538615224182791730e-01,-1.207843082072565721e+01
-7.714646115357519207e+00,-1.395275024468941361e+01,1.161268834660624982e+01,-1.431180840990376124e+00,-2.243436607155613416e+01,7.455747831800132452e+00,8.748127208290782164e+00,6.165925536694993880e+00,-2.260828612991230835e-01,-1.097367131337909996e+01
-5.456501438219987676e+00,-1.037815623597739823e+01,8.368930789619039246e+00,-2.413194490865115949e-01,-1.674103112083789924e+01,5.436540400799048989e+00,7.173780659961869866e+00,4.866988684864357317e+00,2.188982615912087037e-01,-8.149352685745364866e+00
-7.833717382976674415e+00,-1.407392864694280732e+01,1.178678510823342585e+01,-1.429100627206657315e+00,-2.266704741087364283e+01,7.552575930190780440e+00,8.896224921954727805e+00,6.097213226782453255e+00,-2.844330127340677361e-01,-1.104829267226723921e+01
-9.863821379601267481e+00,-1.787855511230484140e+01,1.490651906877887356e+01,-1.641428227689328612e+00,-2.881723525265132224e+01,9.567455990798247711e+00,1.142303600765940175e+01,7.860779156444623439e+00,-2.646410648645513564e-01,-1.405446250917012740e+01
-9.328969858445244512e+00,-1.729293016341084765e+01,1.423043591214332082e+01,-9.626027146251829869e-01,-2.792943340670067442e+01,9.178529877638460732e+00,1.156241789506293927e+01,7.808595444707448152e+00,2.800850152379980029e-02,-1.358914384978901424e+01
-7.318095444985445397e+00,-1.309444147021962834e+01,1.097475095770337283e+01,-1.504752784629401319e+00,-2.105079394572264562e+01,7.028711650541715095e+00,8.100360468210624276e+00,5.682560887469531252e+00,-3.091420592916664933e-01,-1.028987632658160756e+01
-5.206059203072679331e+00,-9.670474432578332724e+00,7.906837883499842512e+00,-5.567766383333270230e-01,-1.557179924597121357e+01,5.109729692225034370e+00,6.420248094536814776e+00,4.406454214429346372e+00,4.510066661490721995e-02,-7.591405001024010168e+00
-4.075222273533229966e+00,-7.756131385833091585e+00,6.197585015286489529e+00,-3.022778001851829655e-01,-1.243776297670442332e+01,4.036329037734944336e+00,5.202151265036264682e+00,3.703196135530081090e+00,1.759643673082441628e-01,-6.092960186016003199e+00
-7.557151457748504164e+00,-1.341120313636859862e+01,1.130214864837733302e+01,-1.666632688122803962e+00,-2.155884274726385641e+01,7.224414060261194592e+00,8.212956268135588545e+00,5.735851951037036045e+00,-3.938533785081888561e-01,-1.053173617085396963e+01
-6.449885401582313271e+00,-1.158610736276753173e+01,9.682758360823431332e+00,-1.217935932648803288e+00,-1.863263426003917900e+01,6.207889432027902110e+00,7.270121675174634035e+00,5.038552344621002987e+00,-2.299106120905322626e-01,-9.093953611695376082e+00
-7.465420208502764332e+00,-1.373608375813180693e+01,1.131743547744850353e+01,-1.003209512872876186e+00,-2.212352963161949404e+01,7.293911905805914309e+00,8.952659213426271023e+00,6.186461007070342077e+00,-4.486170682461820824e-02,-1.079547229647697471e+01
