-3.956643773388355712e+00,3.118978313971753291e+00,1.078764043977709619e+01,9.308552712989962785e+00,-1.064915325473210039e+01
-4.471128559189985197e+00,3.395058593818368387e+00,1.302755326881197639e+01,1.148181828983740260e+01,-1.228867215292979864e+01
-5.102566243309235361e+00,4.077881862766858490e+00,1.364403708861054909e+01,1.168043101399700134e+01,-1.365790284722219106e+01
-5.046507771891732830e+00,3.823170839964406209e+00,1.472967183296722382e+01,1.299429930344555473e+01,-1.387579879713190500e+01
-5.430881092046855763e+00,4.341702230297380005e+00,1.483611743374277303e+01,1.273702068559161127e+01,-1.465383683058090547e+01
-4.810361288997158091e+00,3.630473605827217565e+00,1.389827950270536228e+01,1.226304599137517748e+01,-1.316784586616233454e+01
-5.372618682668376167e+00,4.278774140254970604e+00,1.423626926754966959e+01,1.218865552263236474e+01,-1.432615456787873143e+01
-6.004464169489922121e+00,4.588353434771997641e+00,1.731338656155359601e+01,1.520928443389141194e+01,-1.644799006409755293e+01
-7.351878401070150559e+00,5.781346043594229656e+00,2.041804454893382115e+01,1.767661187765305186e+01,-1.991974538687006557e+01
-7.568189061483845848e+00,5.910079258826634430e+00,2.141058049699410404e+01,1.862566251545326068e+01,-2.063334643358894027e+01
-6.421963840515650723e+00,4.966716920954740822e+00,1.850874885794701896e+01,1.619177005770373867e+01,-1.761402470847310298e+01
-5.039512913062258903e+00,3.968314390063540031e+00,1.342048412138691482e+01,1.154906664517035253e+01,-1.344329483459164720e+01
-3.988775609744061867e+00,3.055905989705984371e+00,1.121275110373806250e+01,9.813065999849412080e+00,-1.082278400827080134e+01
-4.178140671855365085e+00,3.262478909402948712e+00,1.172004796706940333e+01,1.018529582423895974e+01,-1.135376151440122072e+01
-4.859350341878768909e+00,3.770067067394427873e+00,1.338161936349004577e+01,1.162999884507079607e+01,-1.310197423524603089e+01
-6.142877963011603271e+00,4.793367545607700286e+00,1.708123142318213183e+01,1.483204682454230117e+01,-1.663571190659132526e+01
-7.354802307895816682e+00,5.727024577110842785e+00,2.095811311705842073e+01,1.826657340564167242e+01,-2.010060297600103851e+01
-7.429751971858800985e+00,5.816904348891068999e+00,2.102579185675055840e+01,1.827484417916490145e+01,-2.026488651728537960e+01
-6.124936344401561428e+00,4.750506844005016660e+00,1.719754747014065899e+01,1.498343388358969186e+01,-1.663635220487417143e+01
