-3.471742820411004793e+00,2.697133780143011972e+00,9.855993665213375721e+00,8.383389956629892836e+00,-9.835694278607402197e+00
-4.194011656495332474e+00,3.049185305569274362e+00,1.206076930347157017e+01,1.075465577493589997e+01,-1.143124280514555124e+01
-4.408475031239203368e+00,3.611538422100496692e+00,1.201376842386251376e+01,1.021115518109407816e+01,-1.192392193780125886e+01
-4.665599150964458985e+00,3.373275729500822440e+00,1.342377998817997309e+01,1.200437915330902072e+01,-1.268923449879031295e+01
-4.413076118871451570e+00,3.605835972001541823e+00,1.233377723943030269e+01,1.053257699198944586e+01,-1.204632576109785447e+01
-4.662028506376796777e+00,3.370301541548277324e+00,1.321060737998958601e+01,1.179759594245554055e+01,-1.260410419973525720e+01
-4.669512218727657427e+00,3.816367519566894018e+00,1.260603813219715796e+01,1.070976724677795566e+01,-1.258178986471687999e+01
-5.134228571910564476e+00,3.782905749697181186e+00,1.479950552338817360e+01,1.315730639407408731e+01,-1.400418635157606850e+01
-5.558087730557235595e+00,4.404231999049933677e+00,1.583550843218513471e+01,1.371446059464031819e+01,-1.522415577184951374e+01
-5.650723035831037855e+00,4.381804449413134961e+00,1.639243194686868677e+01,1.433689806553939938e+01,-1.554530311441610202e+01
-5.115053027586037970e+00,3.851184751391949934e+00,1.493218613992057264e+01,1.319885615221846464e+01,-1.405704724670267325e+01
-4.653859859449112513e+00,3.712262635177315140e+00,1.252226260200594865e+01,1.073611725990964771e+01,-1.248494606394369910e+01
-4.143720773479701691e+00,3.096924252357233343e+00,1.144558167232580459e+01,1.008258241134682898e+01,-1.113674821235183288e+01
-4.004293328695411880e+00,3.083577908496516695e+00,1.118155647635870054e+01,9.759207735183906607e+00,-1.084608699589587388e+01
-4.577549943861524362e+00,3.520410075878522171e+00,1.259296163024199622e+01,1.097689846109901701e+01,-1.232629704389693259e+01
-5.097784306058364301e+00,3.961417956994568002e+00,1.434942847217129724e+01,1.249599333709175752e+01,-1.386516810896889851e+01
