-7.247604608836597961e+00,1.540527226415221440e+00,-1.174053333365619700e+01,-7.497405383609541119e+00
-9.048742809544457089e+00,2.107160613702248053e+00,-1.449108295433446258e+01,-9.080684997931577129e+00
-1.167377611434014106e+01,2.062413604814135493e+00,-1.901995625336800444e+01,-1.270330763769007909e+01
-1.190184016653771160e+01,2.491958437827948902e+00,-1.916386148769674946e+01,-1.236528593018611843e+01
-1.180511452784482529e+01,2.378267212283611709e+00,-1.906515910303231109e+01,-1.238034197955719762e+01
-1.167267547626101631e+01,2.517271490145681412e+00,-1.875748306401723653e+01,-1.199423909632741569e+01
-1.222987839344360417e+01,2.423843027113443238e+00,-1.976649769926058298e+01,-1.290900503210436412e+01
-1.261189653741682370e+01,2.324405226296841320e+00,-2.047828908515824153e+01,-1.356704914147715968e+01
-1.257906422652692946e+01,3.437162066674578131e+00,-2.123851621722122118e+01,-1.256314632515895724e+01
-1.248127560928343449e+01,3.904743591287357596e+00,-2.282363249193756971e+01,-1.273126075496780452e+01
-1.339165040736704881e+01,5.370833035569302361e+00,-2.601454544560651527e+01,-1.374982741589468560e+01
-1.347248078264208893e+01,4.293928494307438726e+00,-2.430212022603644684e+01,-1.349826095888938937e+01
-1.318785429860250424e+01,2.997286064921631077e+00,-2.271513221998579013e+01,-1.414148593925187569e+01
-1.200679932088244151e+01,2.709968317333923071e+00,-1.920877650933978131e+01,-1.216473284676474798e+01
-1.169420784792497336e+01,2.352706426826088659e+00,-1.887686642277546767e+01,-1.225652447112005028e+01
-9.321797682264008955e+00,2.131894851351595399e+00,-1.493975309871022539e+01,-9.401721597929357799e+00
-1.101475966570112952e+01,2.130626574390625638e+00,-1.785006899552845283e+01,-1.169731141239001460e+01
-1.199521574778596822e+01,2.450762219018468802e+00,-1.934792533992673214e+01,-1.255354423327924351e+01
-1.209149244513345600e+01,2.324267164720802192e+00,-1.958672858487170743e+01,-1.286601297320966175e+01
-1.000050233415882417e+01,2.129750352182729678e+00,-1.610875654144361135e+01,-1.033383305872249736e+01
-9.739125271360361324e+00,2.035442444238978243e+00,-1.571608510357143906e+01,-1.009861500922520428e+01
-1.130049424544571579e+01,2.570456741761078412e+00,-1.808787050610235880e+01,-1.141047143135639708e+01
-1.539236370890869310e+01,2.827633599519744134e+00,-2.496421877959632951e+01,-1.656405062394317440e+01
-1.776808638407535312e+01,3.524977092218611663e+00,-2.864082764146330007e+01,-1.872887601946486669e+01
-1.813530023247683687e+01,3.527967783394673429e+00,-2.926744936347421344e+01,-1.920396802704332728e+01
-1.887306857136467286e+01,3.732177295847165510e+00,-3.040686950249600784e+01,-1.988472402577087905e+01
-1.515037337809991946e+01,3.070166286074794026e+00,-2.439964118926582515e+01,-1.585314778977461003e+01
-1.139551756745575872e+01,2.445326463926767779e+00,-1.832089453373215804e+01,-1.173093219166457324e+01
-9.824678757427987463e+00,1.904217987175483184e+00,-1.593694047694231131e+01,-1.043519731912718385e+01
-8.428160635887133267e+00,1.842665188238818308e+00,-1.357443847395473036e+01,-8.644520404357409760e+00
-7.875992721733169333e+00,1.639259265212275718e+00,-1.274422560638887880e+01,-8.196875101893702720e+00
-7.838406416104296781e+00,1.726119998245302378e+00,-1.262941024574262805e+01,-8.018208913116263048e+00
-8.725204154458433337e+00,1.798197288250801718e+00,-1.411008998870837772e+01,-9.112654103574769238e+00
-1.052464136287239249e+01,2.111839621939611167e+00,-1.701960376126755747e+01,-1.106051387344473369e+01
-1.224623814326619886e+01,2.664907517356621902e+00,-1.965655604494694231e+01,-1.255509012038791639e+01
-1.329266632757510891e+01,2.410184457104818545e+00,-2.159891608210810432e+01,-1.436824401277817387e+01
-1.270833049887864163e+01,2.568393049487044610e+00,-2.050533084754495050e+01,-1.332819208622548324e+01
-1.191112691182046746e+01,2.637972919893388557e+00,-1.909587107770851233e+01,-1.212688492344113200e+01
-1.291585587878864239e+01,2.486415857811019592e+00,-2.090470241104147675e+01,-1.372530083997176575e+01
-9.697551969222203638e+00,2.104098984346939982e+00,-1.561939113118637579e+01,-9.963955693076664843e+00
-1.382404684535160477e+01,2.666941529181219739e+00,-2.237765543200926643e+01,-1.470111760355682762e+01
-1.025159044731135261e+01,1.931667557910492272e+00,-1.666955424219696624e+01,-1.097896016869874991e+01
-1.091013502785076206e+01,2.149507035113196629e+00,-1.767370922654405874e+01,-1.155387656210461245e+01
-1.150698029331061001e+01,2.276633861201853737e+00,-1.862606997498857453e+01,-1.215634130194803575e+01
-9.553383530668302370e+00,1.811474465028753311e+00,-1.554035172240128837e+01,-1.021259313659552070e+01
-8.265570057259449044e+00,1.689366932490998341e+00,-1.339717148111288481e+01,-8.669548693738136080e+00
-8.082679220081230298e+00,1.682518150990896855e+00,-1.308732387635147099e+01,-8.429744948572411190e+00
-1.199418611306145799e+01,2.598418050780502142e+00,-1.927756592673471303e+01,-1.230183143096808429e+01
-3.988272656848848641e+01,9.470504894018777264e+00,-6.470521798498589305e+01,-4.029760241903401408e+01
