dataset,baseline_mean,rep_nodes_best_eps,rep_nodes_best_mean,rep_edges_best_eps,rep_edges_best_mean,delta_nodes,delta_edges,best_rawr_mode,best_rawr_mean,best_rawr_delta
Actor,0.2913157894736842,2,0.2942105263157894,0,0.29473684210526313,0.0028947368421052277,0.003421052631578936,rep_edges,0.29473684210526313,0.003421052631578936
Chameleon,0.4431718061674008,0,0.4607929515418502,0,0.4572687224669603,0.017621145374449365,0.014096916299559503,rep_nodes,0.4607929515418502,0.017621145374449365
Citeseer,0.6740963855421687,99,0.6584337349397591,3,0.6602409638554217,-0.015662650602409567,-0.013855421686746916,rep_edges,0.6602409638554217,-0.013855421686746916
Cora,0.8044444444444444,3,0.8,3,0.8014814814814815,-0.004444444444444362,-0.002962962962962945,rep_edges,0.8014814814814815,-0.002962962962962945
Cornell,0.6333333333333334,1,0.6888888888888889,0,0.6777777777777778,0.05555555555555547,0.0444444444444444,rep_nodes,0.6888888888888889,0.05555555555555547
PubMed,0.8005073566717401,4,0.7975646879756468,0,0.7981735159817351,-0.0029426686960932757,-0.0023338406900049735,rep_edges,0.7981735159817351,-0.0023338406900049735
Squirrel,0.32769230769230767,166,0.32576923076923076,0,0.3253846153846154,-0.0019230769230769162,-0.0023076923076922884,rep_nodes,0.32576923076923076,-0.0019230769230769162
Texas,0.711111111111111,1,0.7333333333333333,1,0.7666666666666667,0.022222222222222254,0.05555555555555569,rep_edges,0.7666666666666667,0.05555555555555569
Wisconsin,0.688,1,0.752,1,0.752,0.06400000000000006,0.06400000000000006,rep_nodes,0.752,0.06400000000000006
