dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Citeseer,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6114457831325302
Citeseer,333,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.6234939759036144
Citeseer,333,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6295180722891566
Citeseer,333,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.6174698795180723
Citeseer,333,2,0.05,0.1,rawr,True,rep_nodes,99,False,True,0.6234939759036144
Citeseer,444,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6686746987951807
Citeseer,444,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.6656626506024096
Citeseer,444,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6686746987951807
Citeseer,444,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.6957831325301205
Citeseer,444,2,0.05,0.1,rawr,True,rep_nodes,99,False,True,0.6867469879518072
Citeseer,555,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6536144578313253
Citeseer,555,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.677710843373494
Citeseer,555,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6656626506024096
Citeseer,555,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.6536144578313253
Citeseer,555,2,0.05,0.1,rawr,True,rep_nodes,99,False,True,0.6596385542168675
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7666666666666667
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.7666666666666667
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.7666666666666667
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.7814814814814814
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.7814814814814814
Cora,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.8407407407407408
Cora,222,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.837037037037037
Cora,222,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.8222222222222222
Cora,222,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.8481481481481481
Cora,222,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.825925925925926
Cora,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7777777777777778
Cora,333,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.7703703703703704
Cora,333,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.7851851851851852
Cora,333,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.7851851851851852
Cora,333,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.7962962962962963
Cora,444,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.774074074074074
Cora,444,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.7814814814814814
Cora,444,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.8074074074074075
Cora,444,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.7666666666666667
Cora,444,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.7777777777777778
Cora,555,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.8148148148148148
Cora,555,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.8037037037037037
Cora,555,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.8185185185185185
Cora,555,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.7851851851851852
Cora,555,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.7962962962962963
Cornell,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7222222222222222
Cornell,111,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.7222222222222222
Cornell,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6666666666666666
Cornell,111,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.7777777777777778
Cornell,111,2,0.05,0.1,rawr,True,rep_nodes,94,False,True,0.7222222222222222
Cornell,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.5
Cornell,222,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.5
Cornell,222,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.5
Cornell,222,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.5
Cornell,222,2,0.05,0.1,rawr,True,rep_nodes,94,False,True,0.5
Cornell,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.6111111111111112
Cornell,333,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.7222222222222222
Cornell,333,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6111111111111112
Cornell,333,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.6111111111111112
Cornell,333,2,0.05,0.1,rawr,True,rep_nodes,94,False,True,0.6666666666666666
Cornell,444,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7777777777777778
Cornell,444,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.8333333333333334
Cornell,444,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.8888888888888888
Cornell,444,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.8333333333333334
Cornell,444,2,0.05,0.1,rawr,True,rep_nodes,94,False,True,0.7222222222222222
Cornell,555,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7777777777777778
Cornell,555,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.6666666666666666
Cornell,555,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.6111111111111112
Cornell,555,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.6111111111111112
Cornell,555,2,0.05,0.1,rawr,True,rep_nodes,94,False,True,0.6111111111111112
PubMed,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7980720446473871
PubMed,111,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.7945205479452054
PubMed,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.7950279046169457
PubMed,111,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.7919837645865043
PubMed,111,2,0.05,0.1,rawr,True,rep_nodes,171,False,True,0.7965499746321664
PubMed,222,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.7919837645865043
PubMed,222,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.7889396245560629
PubMed,222,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.7858954845256215
PubMed,222,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.791476407914764
PubMed,222,2,0.05,0.1,rawr,True,rep_nodes,171,False,True,0.7965499746321664
PubMed,333,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.8092338914256723
PubMed,333,2,0.05,0.1,rawr,True,rep_nodes,1,False,True,0.8077118214104515
PubMed,333,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.8117706747843734
PubMed,333,2,0.05,0.1,rawr,True,rep_nodes,4,False,True,0.8163368848300355
PubMed,333,2,0.05,0.1,rawr,True,rep_nodes,171,False,True,0.8077118214104515
