dataset,baseline_mean,rep_nodes_best_eps,rep_nodes_best_mean,rep_edges_best_eps,rep_edges_best_mean,delta_nodes,delta_edges,best_rawr_mode,best_rawr_mean,best_rawr_delta
Actor,0.26552631578947367,2,0.2684210526315789,4,0.2681578947368421,0.0028947368421052277,0.0026315789473684292,rep_nodes,0.2684210526315789,0.0028947368421052277
Chameleon,0.4995594713656388,0,0.5127753303964757,0,0.5110132158590308,0.01321585903083694,0.011453744493392037,rep_nodes,0.5127753303964757,0.01321585903083694
Citeseer,0.4493975903614458,99,0.4644578313253012,99,0.463855421686747,0.015060240963855442,0.014457831325301207,rep_nodes,0.4644578313253012,0.015060240963855442
Cora,0.7066666666666667,168,0.7088888888888889,168,0.7088888888888889,0.0022222222222222365,0.0022222222222222365,rep_nodes,0.7088888888888889,0.0022222222222222365
Cornell,0.45555555555555555,0,0.45555555555555555,0,0.4666666666666667,0.0,0.011111111111111127,rep_edges,0.4666666666666667,0.011111111111111127
PubMed,0.6501268391679351,1,0.6472856418061897,1,0.6483003551496702,-0.0028411973617453734,-0.0018264840182649067,rep_edges,0.6483003551496702,-0.0018264840182649067
Squirrel,0.3038461538461538,17,0.31346153846153846,166,0.31269230769230766,0.009615384615384637,0.008846153846153837,rep_nodes,0.31346153846153846,0.009615384615384637
Texas,0.4666666666666667,0,0.5222222222222223,0,0.5,0.05555555555555558,0.033333333333333326,rep_nodes,0.5222222222222223,0.05555555555555558
Wisconsin,0.568,4,0.576,1,0.568,0.008000000000000007,0.0,rep_nodes,0.576,0.008000000000000007
