setting,baseline_macro_mean,best_rawr_macro_mean,macro_delta,datasets_improved_best_rawr,datasets_tied_best_rawr,datasets_worse_best_rawr,datasets_total,datasets_improved_rep_nodes,datasets_improved_rep_edges
with_features,0.5970747260484655,0.6165278379211708,0.019453111872705306,5,0,4,9,5,5
no_features,0.4850383621577261,0.4979104317491491,0.012872069591422921,8,0,1,9,7,7
