dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Citeseer,333,2,0.05,0.1,rawr,True,rep_edges,1,False,True,0.6144578313253012
Citeseer,333,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.6295180722891566
Citeseer,333,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.6174698795180723
Citeseer,333,2,0.05,0.1,rawr,True,rep_edges,99,False,True,0.6204819277108434
Citeseer,444,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.6716867469879518
Citeseer,444,2,0.05,0.1,rawr,True,rep_edges,1,False,True,0.6596385542168675
Citeseer,444,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.6656626506024096
Citeseer,444,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.6987951807228916
Citeseer,444,2,0.05,0.1,rawr,True,rep_edges,99,False,True,0.6807228915662651
Citeseer,555,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.6626506024096386
Citeseer,555,2,0.05,0.1,rawr,True,rep_edges,1,False,True,0.6686746987951807
Citeseer,555,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.6656626506024096
Citeseer,555,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.6506024096385542
Citeseer,555,2,0.05,0.1,rawr,True,rep_edges,99,False,True,0.6596385542168675
Cora,111,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.7703703703703704
Cora,111,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.7703703703703704
Cora,111,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.7666666666666667
Cora,111,2,0.05,0.1,rawr,True,rep_edges,5,False,True,0.7814814814814814
Cora,111,2,0.05,0.1,rawr,True,rep_edges,168,False,True,0.7814814814814814
Cora,222,2,0.05,0.1,rawr,True,rep_edges,0,False,True,0.8481481481481481
Cora,222,2,0.05,0.1,rawr,True,rep_edges,2,False,True,0.837037037037037
Cora,222,2,0.05,0.1,rawr,True,rep_edges,3,False,True,0.825925925925926
Cora,222,2,0.05,0.1,rawr,True,rep_edges,5,False,True,0.8518518518518519
Cora,222,2,0.05,0.1,rawr,True,rep_edges,168,False,True,0.825925925925926
