dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,0,False,True,0.2074074074074074
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,2,False,True,0.48148148148148145
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,3,False,True,0.31851851851851853
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,5,False,True,0.1111111111111111
Cora,111,2,0.05,0.1,rawr,True,rep_nodes,168,False,True,0.337037037037037
