dataset,seed,layers,val_ratio,test_ratio,data_source,use_features,rewiring_mode,rewiring_epsilon,original_graph_only,rewiring,best_test_accuracy
Cora,222,2,0.05,0.1,rawr,False,rep_nodes,5,False,True,0.7222222222222222
Cora,222,2,0.05,0.1,rawr,False,rep_nodes,168,False,True,0.725925925925926
Cora,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6888888888888889
Cora,333,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.6962962962962963
Cora,333,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.7
Cora,333,2,0.05,0.1,rawr,False,rep_nodes,5,False,True,0.7185185185185186
Cora,333,2,0.05,0.1,rawr,False,rep_nodes,168,False,True,0.6925925925925925
Cora,444,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.7185185185185186
Cora,444,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.7074074074074074
Cora,444,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.7037037037037037
Cora,444,2,0.05,0.1,rawr,False,rep_nodes,5,False,True,0.6925925925925925
Cora,444,2,0.05,0.1,rawr,False,rep_nodes,168,False,True,0.7444444444444445
Cora,555,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6851851851851852
Cora,555,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.7
Cora,555,2,0.05,0.1,rawr,False,rep_nodes,3,False,True,0.7
Cora,555,2,0.05,0.1,rawr,False,rep_nodes,5,False,True,0.7074074074074074
Cora,555,2,0.05,0.1,rawr,False,rep_nodes,168,False,True,0.7185185185185186
Cornell,111,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.6111111111111112
Cornell,111,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.5555555555555556
Cornell,111,2,0.05,0.1,rawr,False,rep_nodes,94,False,True,0.5555555555555556
Cornell,222,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.3333333333333333
Cornell,222,2,0.05,0.1,rawr,False,rep_nodes,94,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_nodes,0,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_nodes,1,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_nodes,2,False,True,0.3333333333333333
Cornell,333,2,0.05,0.1,rawr,False,rep_nodes,4,False,True,0.3333333333333333
