-1.663734231958854082e+01,-2.364880950104168988e+00,-5.475180061629489003e+00
-1.668572281234122556e+01,-2.429803148693770787e+00,-5.349728407306947986e+00
-1.893752291812719690e+01,-3.205497927541124170e+00,-5.330839384792954050e+00
-1.784785647556204680e+01,-2.937950409219392878e+00,-5.131279601613364605e+00
-1.358607828687688723e+01,-1.655628020508548515e+00,-4.991685810630448472e+00
-1.539146592106780709e+01,-2.080913124416542637e+00,-5.385907142299063644e+00
-1.387478113343808950e+01,-2.226993939308766102e+00,-4.338583537766167453e+00
-1.444157333916262687e+01,-1.674510248022512027e+00,-5.437785005097564905e+00
-1.959888569624663646e+01,-3.245442623305068608e+00,-5.610543224750059288e+00
-2.018374929355210057e+01,-3.238294195558863553e+00,-5.752869634772219243e+00
-1.870405699591578141e+01,-2.878526586217173833e+00,-5.824240382414733297e+00
-1.647439047096410292e+01,-1.939331690158816235e+00,-6.198111949452686176e+00
-1.666735893598650264e+01,-2.792461000750875666e+00,-4.736804924992656041e+00
-1.616995953580912726e+01,-2.535465265183986627e+00,-4.804099312178784942e+00
-1.515429145305962599e+01,-2.069571184802468711e+00,-5.240850436696995018e+00
-1.453752258714302492e+01,-1.951885256637622135e+00,-5.063744131589948516e+00
-1.703193230718649431e+01,-2.701538572114737580e+00,-5.148171636142238050e+00
-1.819262402758419483e+01,-2.629955813244583052e+00,-5.769816769452076777e+00
-1.937323914633154587e+01,-3.202899185087325407e+00,-5.615203075139110211e+00
-1.911692498808360341e+01,-2.474716282820812907e+00,-6.657080928388716679e+00
-1.733666762511170134e+01,-2.857425366153986790e+00,-5.056112747061321855e+00
-1.865701887230560274e+01,-2.666649591133319230e+00,-6.160632149776677835e+00
-1.677447082431543990e+01,-2.429720635939691231e+00,-5.505992083594763109e+00
-1.821317070684033013e+01,-2.690300105137805264e+00,-5.806319787674690147e+00
-1.940972748778857948e+01,-3.009781281029400901e+00,-5.844488967348983266e+00
-1.889190301793389537e+01,-3.065072634667013407e+00,-5.407721930765912788e+00
-1.397359604693291857e+01,-1.971554618274786286e+00,-4.748531615773494252e+00
-1.087696974024539642e+01,-1.394528657163385033e+00,-3.982326444629269435e+00
-9.832757028564778068e+00,-1.593652039318542268e+00,-3.025618360028829557e+00
-1.153821881085956846e+01,-1.326951864456093366e+00,-4.421195454638143119e+00
-1.312469244250942779e+01,-1.985874589252053513e+00,-4.183254612219478474e+00
-1.631716225411590315e+01,-2.562124542590824561e+00,-4.910085853863970229e+00
-1.342749135405376926e+01,-1.600048514554784695e+00,-5.097560452541102904e+00
-1.352287737060387229e+01,-2.020785396239103360e+00,-4.305577246658179646e+00
-1.546134292900427631e+01,-2.554887744122464888e+00,-4.464642784442328427e+00
-1.471070849577358253e+01,-1.891544603952533432e+00,-5.121828185949301115e+00
-1.415622326272264075e+01,-2.400370651614374573e+00,-4.069535620328954550e+00
-1.439213042809483589e+01,-1.789282248499254990e+00,-5.313418857539731199e+00
-1.300987358248048942e+01,-1.800414745158219532e+00,-4.401518439196371091e+00
-1.584466845079234609e+01,-2.773247441588486240e+00,-4.350434224404277295e+00
-1.447613754483472093e+01,-1.869970355399996009e+00,-5.045985255146941739e+00
-1.665441285929768611e+01,-2.821537227522208369e+00,-4.840375555144268205e+00
-1.437574581526641992e+01,-1.757092524691439506e+00,-5.056756570838331299e+00
-1.516159985611965766e+01,-2.662638328761261164e+00,-4.127497116374954089e+00
-1.479164491579931706e+01,-2.014904818653379337e+00,-5.113241772401251772e+00
-1.462862577579715051e+01,-1.876273803070909629e+00,-5.116412061250559695e+00
-1.230038026584365873e+01,-1.594070313765860281e+00,-4.506871686683542322e+00
-1.026888730297439167e+01,-1.208055036253236958e+00,-3.967538431802380750e+00
-1.318701111733265030e+01,-2.138586869040078220e+00,-4.090837605831814550e+00
-1.275082024921307422e+01,-1.580557753110175323e+00,-4.639082588584225064e+00
-1.340635735472017309e+01,-2.166844421922228481e+00,-3.949538181027073769e+00
-1.271718805537870089e+01,-2.141048846202163070e+00,-3.569618242588947776e+00
-1.180464271908403973e+01,-1.399582571491516214e+00,-4.507478332792219433e+00
-1.250268236833302460e+01,-1.641014979186281364e+00,-4.397239415321611666e+00
-1.249390995610232480e+01,-2.115030806228639815e+00,-3.572557496030504876e+00
-1.284099401062691825e+01,-1.644234505877719243e+00,-4.575420587789929883e+00
-1.377391331647625350e+01,-2.008601980154413269e+00,-4.488611317611787221e+00
-1.421877955349119027e+01,-2.302160710448645897e+00,-4.197142482962506804e+00
-1.490816773059623657e+01,-1.991971529713543632e+00,-5.145505994473429823e+00
-1.444827595890470739e+01,-2.431645409497643406e+00,-4.198105769147664645e+00
-1.603501830737003431e+01,-2.019305438662311047e+00,-5.749589395708486705e+00
-1.526034428444351221e+01,-1.475916781738962680e+00,-4.225835401143934966e+00
-1.639781982957654094e+01,1.579866292871153211e-01,-5.634447268246844942e+00
-2.090863660520037470e+01,-7.555045622528153704e-01,-6.888564575097373854e+00
-2.062143080348153035e+01,-1.022681640042236273e+00,-5.850031254252407109e+00
-1.954702539088303936e+01,-1.946505682827612604e+00,-5.745952587694507230e+00
-1.949562428125592817e+01,-2.614300036755037304e+00,-6.741915639865446508e+00
-1.680466938399073129e+01,-2.907672492795041919e+00,-4.577181441203690859e+00
